lat,lon,temperature_2m,relative_humidity_2m,weathercode,wind_speed_10m,rocket,success,payloads,year,month,day,hour
28.6080585,-80.6039558,25.3,68,0,13.0,2,1.0,28,2019,4,11,22
28.5618571,-80.577366,22.4,93,51,6.9,1,1.0,28,2019,5,4,6
28.5618571,-80.577366,25.0,68,1,18.6,1,1.0,28,2019,5,24,2
34.632093,-120.610829,13.9,96,1,2.4,1,1.0,28,2019,6,12,14
28.6080585,-80.6039558,27.1,90,0,8.4,2,1.0,448,2019,6,25,3
28.5618571,-80.577366,26.7,77,51,4.3,1,1.0,28,2019,7,25,22
28.5618571,-80.577366,26.3,89,53,11.3,1,1.0,28,2019,8,6,22
28.5618571,-80.577366,24.4,66,1,12.6,1,1.0,28,2019,11,11,14
28.5618571,-80.577366,18.0,59,0,11.2,1,1.0,28,2019,12,5,17
28.5618571,-80.577366,22.6,88,0,16.3,1,1.0,28,2019,12,17,0
28.5618571,-80.577366,14.5,50,0,6.8,1,1.0,28,2020,1,7,2
28.6080585,-80.6039558,19.5,78,3,15.3,1,1.0,28,2020,1,19,14
28.5618571,-80.577366,17.4,76,3,6.9,1,1.0,28,2020,1,29,14
28.5618571,-80.577366,21.6,88,2,5.4,1,1.0,28,2020,2,17,15
28.5618571,-80.577366,16.3,37,1,21.7,1,1.0,28,2020,3,7,4
28.6080585,-80.6039558,21.0,93,3,4.7,1,1.0,28,2020,3,18,12
28.6080585,-80.6039558,25.7,35,3,18.0,1,1.0,28,2020,4,22,19
28.6080585,-80.6039558,26.9,81,53,10.0,1,1.0,28,2020,5,30,19
28.5618571,-80.577366,23.8,94,53,6.5,1,1.0,28,2020,6,4,1
28.5618571,-80.577366,24.0,84,0,5.9,1,1.0,28,2020,6,13,9
28.5618571,-80.577366,34.3,47,1,9.9,1,1.0,28,2020,6,30,19
28.5618571,-80.577366,29.5,72,0,18.7,1,1.0,28,2020,7,20,21
28.6080585,-80.6039558,25.2,96,3,4.0,1,1.0,56,2020,8,7,5
28.5618571,-80.577366,25.4,89,51,14.5,1,1.0,28,2020,8,18,14
28.5618571,-80.577366,26.6,87,53,12.9,1,1.0,28,2020,8,30,23
28.6080585,-80.6039558,26.8,95,2,2.2,1,1.0,28,2020,9,3,12
28.6080585,-80.6039558,25.7,92,51,7.2,1,1.0,28,2020,10,6,11
28.6080585,-80.6039558,25.8,78,2,17.3,1,1.0,28,2020,10,18,12
28.5618571,-80.577366,26.9,71,51,11.5,1,1.0,28,2020,10,24,15
28.5618571,-80.577366,24.1,71,1,17.2,1,1.0,28,2020,11,5,23
28.6080585,-80.6039558,23.8,94,0,7.6,1,1.0,28,2020,11,16,0
34.632093,-120.610829,16.9,47,2,3.7,1,1.0,28,2020,11,21,17
28.5618571,-80.577366,22.4,75,2,15.6,1,1.0,28,2020,11,25,2
28.6080585,-80.6039558,19.0,71,2,8.7,1,1.0,28,2020,12,6,16
28.5618571,-80.577366,23.1,82,3,6.2,1,1.0,28,2020,12,13,17
28.6080585,-80.6039558,19.4,65,3,12.0,1,1.0,28,2020,12,19,14
28.5618571,-80.577366,19.1,67,3,15.5,1,1.0,28,2021,1,8,2
28.6080585,-80.6039558,11.2,94,0,9.2,1,1.0,28,2021,1,20,13
28.5618571,-80.577366,21.8,79,3,7.6,1,1.0,28,2021,1,24,15
28.5618571,-80.577366,6.1,73,0,8.6,1,1.0,28,2021,2,4,6
28.5618571,-80.577366,22.1,91,1,19.6,1,1.0,28,2021,2,16,3
28.6080585,-80.6039558,15.4,84,51,15.1,1,1.0,28,2021,3,4,8
28.5618571,-80.577366,18.5,61,2,9.9,1,1.0,28,2021,3,11,8
28.6080585,-80.6039558,16.9,87,3,8.3,1,1.0,28,2021,3,14,10
28.5618571,-80.577366,16.9,91,3,10.3,1,1.0,28,2021,3,24,8
28.5618571,-80.577366,26.6,32,2,5.9,1,1.0,28,2021,4,7,16
28.6080585,-80.6039558,19.5,76,2,15.7,1,1.0,28,2021,4,23,9
28.5618571,-80.577366,22.4,79,2,10.6,1,1.0,28,2021,4,29,3
28.6080585,-80.6039558,29.3,71,3,18.0,1,1.0,28,2021,5,4,19
28.5618571,-80.577366,19.4,82,0,9.7,1,1.0,28,2021,5,9,6
28.6080585,-80.6039558,24.4,49,0,26.5,1,1.0,84,2021,5,15,22
28.5618571,-80.577366,30.0,44,2,15.9,1,1.0,28,2021,5,26,18
28.6080585,-80.6039558,28.3,69,2,20.4,1,1.0,28,2021,6,3,17
28.5618571,-80.577366,25.8,85,3,16.0,1,1.0,28,2021,6,6,4
28.5618571,-80.577366,29.5,58,51,6.0,1,1.0,28,2021,6,17,16
28.5618571,-80.577366,27.6,77,51,18.1,1,1.0,28,2021,6,30,19
28.6080585,-80.6039558,26.3,93,2,9.9,1,1.0,28,2021,8,29,7
34.632093,-120.610829,13.6,94,0,13.8,1,1.0,28,2021,9,14,3
28.6080585,-80.6039558,26.9,81,3,7.7,1,1.0,28,2021,9,16,0
28.6080585,-80.6039558,21.2,83,1,8.7,1,1.0,28,2021,11,11,2
28.5618571,-80.577366,18.0,98,3,7.6,1,1.0,28,2021,11,13,12
34.632093,-120.610829,11.4,95,3,8.4,1,1.0,28,2021,11,24,6
28.5618571,-80.577366,18.3,90,0,7.3,1,1.0,28,2021,12,1,23
28.6080585,-80.6039558,19.9,95,0,12.4,1,1.0,28,2021,12,9,6
34.632093,-120.610829,4.9,89,2,4.0,1,1.0,28,2021,12,18,12
28.5618571,-80.577366,22.7,93,3,14.0,1,1.0,28,2021,12,19,3
28.6080585,-80.6039558,19.5,96,3,12.0,1,1.0,28,2021,12,21,10
28.6080585,-80.6039558,22.7,42,1,4.2,1,1.0,28,2022,1,6,21
